iter	RMSE
0	3.845229515
1	3.797466493
2	3.755984349
3	3.720444198
4	3.687662865
5	3.662490775
6	3.642000982
7	3.618060115
8	3.598872895
9	3.580999692
10	3.561313158
11	3.542120123
12	3.52517231
13	3.50958229
14	3.495118445
15	3.481861138
16	3.469120128
17	3.45897513
18	3.449137932
19	3.438703237
20	3.430266801
21	3.424372855
22	3.410967651
23	3.400614989
24	3.393956565
25	3.380706106
26	3.373258304
27	3.366254338
28	3.358684456
29	3.350200266
30	3.346699831
31	3.33441254
32	3.325765036
33	3.318208286
34	3.313544439
35	3.306071436
36	3.300576068
37	3.297944587
38	3.295824678
39	3.290083621
40	3.283266604
41	3.273758924
42	3.269419548
43	3.263170206
44	3.260578308
45	3.256215467
46	3.24970442
47	3.244323315
48	3.239030209
49	3.234021085
50	3.231497377
51	3.227858986
52	3.223302419
53	3.220304923
54	3.217248085
55	3.213300325
56	3.210003965
57	3.207142701
58	3.204179799
59	3.199476842
60	3.193608666
61	3.190472198
62	3.18744151
63	3.182556797
64	3.180138751
65	3.176996584
66	3.17416903
67	3.170985344
68	3.168080582
69	3.166679591
70	3.162954277
71	3.15832611
72	3.155967458
73	3.151979422
74	3.147742159
75	3.144500864
76	3.142188603
77	3.139041736
78	3.136255454
79	3.133027646
80	3.13105597
81	3.127865236
82	3.125255762
83	3.122593638
84	3.121024031
85	3.119135449
86	3.117852689
87	3.11524085
88	3.11313323
89	3.111279811
90	3.108319782
91	3.106564644
92	3.104223645
93	3.102781281
94	3.100588262
95	3.099201825
96	3.096638357
97	3.094396631
98	3.092089399
99	3.089691797
100	3.087718417
101	3.085615795
102	3.083568272
103	3.081332706
104	3.079777089
105	3.077887693
106	3.075628635
107	3.074515223
108	3.072519929
109	3.069424912
110	3.067514754
111	3.065880761
112	3.063532102
113	3.061792605
114	3.059343912
115	3.058253185
116	3.055695895
117	3.054514855
118	3.053521075
119	3.052136772
120	3.050348413
121	3.047870678
122	3.045824316
123	3.044652392
124	3.042738358
125	3.041291799
126	3.039543429
127	3.037985464
128	3.036548605
129	3.034647516
130	3.032365071
131	3.030971301
132	3.02939192
133	3.027657127
134	3.026358574
135	3.024442927
136	3.023153224
137	3.021648607
138	3.019645393
139	3.017979466
140	3.016290384
141	3.014860669
142	3.013220852
143	3.011976564
144	3.010668323
145	3.00992424
146	3.008292969
147	3.006915499
148	3.005070312
149	3.002679863
150	3.000706178
151	2.998961574
152	2.996740408
153	2.995422413
154	2.993303105
155	2.991415617
156	2.98981361
157	2.987758556
158	2.986357634
159	2.984754935
160	2.983601799
161	2.982084819
162	2.980693904
163	2.978778308
164	2.977701172
165	2.976002612
166	2.974672173
167	2.972593582
168	2.971396293
169	2.970438982
170	2.969584254
171	2.968420103
172	2.967732164
173	2.966295769
174	2.965626293
