iter	Passed	Remaining
0	181	181094
1	351	175480
2	523	173974
3	686	170871
4	850	169282
5	1007	166909
6	1160	164672
7	1327	164575
8	1517	167104
9	1691	167481
10	1857	166977
11	2016	165990
12	2183	165784
13	2349	165499
14	2515	165163
15	2671	164313
16	2833	163852
17	2984	162833
18	3131	161659
19	3281	160797
20	3442	160505
21	3590	159623
22	3743	159016
23	3921	159466
24	4102	160008
25	4252	159308
26	4423	159396
27	4569	158633
28	4751	159095
29	4907	158686
30	5060	158196
31	5214	157746
32	5413	158623
33	5678	161325
34	5844	161148
35	5992	160473
36	6148	160036
37	6299	159485
38	6462	159234
39	6655	159731
40	6847	160155
41	7029	160334
42	7201	160278
43	7395	160693
44	7596	161206
45	7771	161176
46	7976	161738
47	8133	161322
48	8287	160836
49	8456	160675
50	8631	160614
51	8811	160646
52	8989	160628
53	9166	160574
54	9354	160732
55	9538	160788
56	9709	160625
57	9880	160476
58	10053	160350
59	10225	160199
60	10407	160210
61	10600	160377
62	10798	160613
63	10999	160861
64	11181	160835
65	11360	160767
66	11546	160789
67	11737	160871
68	11906	160648
69	12055	160169
70	12194	159564
71	12339	159045
72	12493	158653
73	12628	158030
74	12773	157535
75	12937	157291
76	13084	156838
77	13239	156494
78	13404	156268
79	13555	155885
80	13698	155419
81	13850	155053
82	14030	155008
83	14173	154553
84	14313	154080
85	14467	153760
86	14618	153405
87	14779	153164
88	14969	153223
89	15148	153172
90	15332	153159
91	15523	153207
92	15717	153291
93	15924	153488
94	16125	153614
95	16320	153687
96	16505	153654
97	16683	153556
98	16875	153586
99	17048	153435
100	17216	153246
101	17409	153275
102	17582	153121
103	17752	152948
104	17919	152745
105	18089	152564
106	18269	152476
107	18470	152551
108	18662	152555
109	18836	152403
110	19036	152467
111	19237	152527
112	19451	152686
113	19652	152735
114	19842	152698
115	20033	152670
116	20234	152707
117	20407	152537
118	20579	152356
119	20736	152066
120	20920	151976
121	21123	152018
122	21310	151942
123	21500	151891
124	21666	151664
125	21852	151582
126	22040	151505
127	22222	151392
128	22411	151318
129	22634	151477
130	22810	151317
131	23001	151249
132	23224	151395
133	23443	151505
134	23671	151670
135	23901	151846
136	24119	151934
137	24332	151988
138	24530	151949
139	24741	151985
140	24924	151842
141	25093	151623
142	25277	151488
143	25446	151266
144	25616	151047
145	25783	150813
146	25947	150563
147	26108	150300
148	26268	150028
149	26436	149808
150	26602	149575
151	26777	149388
152	26942	149153
153	27124	149008
154	27329	148992
155	27486	148709
156	27643	148431
157	27807	148188
158	27997	148086
159	28182	147958
160	28389	147941
161	28597	147928
162	28832	148055
163	29055	148112
164	29306	148306
165	29517	148297
166	29693	148111
167	29873	147946
168	30037	147700
169	30239	147641
170	30472	147729
171	30668	147635
172	30875	147593
173	31076	147526
174	31292	147522
